pos_scalar,rot_scalar,stiffness,damping,success_rate
0.5,1,800,50,5.37109375
0.5,1,800,150,3.125
0.5,1,800,250,0.0
0.5,1,800,350,0.0
0.5,1,1000,50,3.80859375
0.5,1,1000,150,6.15234375
0.5,1,1000,250,0.29296875
0.5,1,1000,350,0.0
0.5,1,1200,50,4.00390625
0.5,1,1200,150,8.7890625
0.5,1,1200,250,2.83203125
0.5,1,1200,350,0.0
0.5,2,800,50,2.83203125
0.5,2,800,150,0.68359375
0.5,2,800,250,0.0
0.5,2,800,350,0.0
0.5,2,1000,50,2.63671875
0.5,2,1000,150,0.87890625
0.5,2,1000,250,0.1953125
0.5,2,1000,350,0.0
0.5,2,1200,50,1.07421875
0.5,2,1200,150,3.02734375
0.5,2,1200,250,0.48828125
0.5,2,1200,350,0.09765625
0.5,4,800,50,0.09765625
0.5,4,800,150,0.5859375
0.5,4,800,250,0.0
0.5,4,800,350,0.0
0.5,4,1000,50,0.390625
0.5,4,1000,150,1.07421875
0.5,4,1000,250,0.390625
0.5,4,1000,350,0.0
0.5,4,1200,50,0.0
0.5,4,1200,150,1.7578125
0.5,4,1200,250,0.68359375
0.5,4,1200,350,0.0
1,1,800,50,4.98046875
1,1,800,150,11.1328125
1,1,800,250,4.98046875
1,1,800,350,0.1953125
1,1,1000,50,4.4921875
1,1,1000,150,8.49609375
1,1,1000,250,7.71484375
1,1,1000,350,2.44140625
1,1,1200,50,4.19921875
1,1,1200,150,8.88671875
1,1,1200,250,10.15625
1,1,1200,350,5.95703125
1,2,800,50,1.5625
1,2,800,150,6.73828125
1,2,800,250,3.22265625
1,2,800,350,2.24609375
1,2,1000,50,0.9765625
1,2,1000,150,5.76171875
1,2,1000,250,5.859375
1,2,1000,350,2.63671875
1,2,1200,50,0.68359375
1,2,1200,150,5.078125
1,2,1200,250,5.37109375
1,2,1200,350,4.78515625
1,4,800,50,0.1953125
1,4,800,150,2.734375
1,4,800,250,0.9765625
1,4,800,350,0.29296875
1,4,1000,50,0.0
1,4,1000,150,2.83203125
1,4,1000,250,1.953125
1,4,1000,350,0.78125
1,4,1200,50,0.0
1,4,1200,150,2.1484375
1,4,1200,250,3.41796875
1,4,1200,350,0.78125
2,1,800,50,2.83203125
2,1,800,150,9.765625
2,1,800,250,8.49609375
2,1,800,350,3.90625
2,1,1000,50,1.07421875
2,1,1000,150,9.765625
2,1,1000,250,8.30078125
2,1,1000,350,6.4453125
2,1,1200,50,1.46484375
2,1,1200,150,9.765625
2,1,1200,250,9.1796875
2,1,1200,350,8.59375
2,2,800,50,1.7578125
2,2,800,150,10.7421875
2,2,800,250,8.0078125
2,2,800,350,10.7421875
2,2,1000,50,1.3671875
2,2,1000,150,5.859375
2,2,1000,250,8.984375
2,2,1000,350,7.8125
2,2,1200,50,0.1953125
2,2,1200,150,9.1796875
2,2,1200,250,8.0078125
2,2,1200,350,9.765625
2,4,800,50,0.29296875
2,4,800,150,4.39453125
2,4,800,250,2.83203125
2,4,800,350,5.2734375
2,4,1000,50,0.0
2,4,1000,150,3.90625
2,4,1000,250,2.63671875
2,4,1000,350,3.80859375
2,4,1200,50,0.0
2,4,1200,150,3.125
2,4,1200,250,4.19921875
2,4,1200,350,4.6875
3,1,800,50,0.29296875
3,1,800,150,8.10546875
3,1,800,250,8.59375
3,1,800,350,6.0546875
3,1,1000,50,0.1953125
3,1,1000,150,5.37109375
3,1,1000,250,9.47265625
3,1,1000,350,8.59375
3,1,1200,50,0.0
3,1,1200,150,4.58984375
3,1,1200,250,6.54296875
3,1,1200,350,8.203125
3,2,800,50,0.09765625
3,2,800,150,8.10546875
3,2,800,250,8.88671875
3,2,800,350,10.7421875
3,2,1000,50,0.1953125
3,2,1000,150,7.03125
3,2,1000,250,8.59375
3,2,1000,350,9.27734375
3,2,1200,50,0.0
3,2,1200,150,4.39453125
3,2,1200,250,7.51953125
3,2,1200,350,8.69140625
3,4,800,50,0.1953125
3,4,800,150,4.8828125
3,4,800,250,7.91015625
3,4,800,350,6.93359375
3,4,1000,50,0.0
3,4,1000,150,3.90625
3,4,1000,250,5.2734375
3,4,1000,350,7.6171875
3,4,1200,50,0.0
3,4,1200,150,2.24609375
3,4,1200,250,4.39453125
3,4,1200,350,5.957031251,1,500,50,7.8125
